Time,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_Crabwalk_F,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_C,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_pH,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Salinity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Conductivity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_ORP,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePE,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePC,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Chlorophyll
7/13/16 23:00,79.1375,26.2,7.9,25.4,40.8,124,10,274,0
7/13/16 23:15,79.1375,26.2,7.9,25.4,40.8,125,11,224,0
7/13/16 23:30,79.1375,26.2,7.9,25.4,40.8,124,12,235,0
7/13/16 23:45,79.1375,26.2,7.9,25.4,40.8,125,10,213,0
7/14/16 0:00,79.1375,26.2,7.9,25.4,40.8,126,15,134,0
7/14/16 0:15,79.0812,26.2,7.9,25.4,40.8,125,13,147,0
7/14/16 0:30,79.1375,26.2,7.9,25.4,40.8,126,12,178,0
7/14/16 0:45,79.1375,26.2,7.9,25.4,40.8,125,12,175,0
7/14/16 1:00,79.1375,26.2,7.9,25.4,40.8,125,14,267,0
7/14/16 1:15,79.1375,26.2,7.9,25.4,40.8,128,15,265,0
7/14/16 1:30,79.0812,26.2,7.9,25.4,40.8,126,8,339,0
7/14/16 1:45,79.1375,26.2,7.9,25.4,40.8,127,10,318,0
7/14/16 2:00,79.0812,26.2,7.9,25.4,40.8,125,11,353,0
7/14/16 2:15,79.0812,26.2,7.9,25.4,40.8,125,11,277,0
7/14/16 2:30,79.0812,26.2,7.9,25.4,40.8,125,14,200,0
7/14/16 2:45,79.0812,26.2,7.9,25.4,40.8,125,14,300,0
7/14/16 3:00,79.0812,26.2,7.9,25.4,40.8,125,13,314,0
7/14/16 3:15,79.0812,26.2,7.9,25.4,40.8,126,15,227,0
7/14/16 3:30,79.025,26.2,7.9,25.4,40.8,125,12,175,0
7/14/16 3:45,79.0812,26.2,7.9,25.4,40.8,125,11,177,0
7/14/16 4:00,79.0812,26.1,7.9,25.4,40.8,125,11,233,0
7/14/16 4:15,79.025,26.1,7.9,25.4,40.8,130,10,252,0
7/14/16 4:30,79.025,26.1,7.9,25.4,40.8,131,15,122,0
7/14/16 4:45,79.025,26.1,7.9,25.4,40.8,130,20,67,0
7/14/16 5:00,79.025,26.1,7.9,25.4,40.7,131,13,160,0
7/14/16 5:15,79.025,26.1,7.9,25.4,40.7,132,15,86,0
7/14/16 5:30,79.025,26.1,7.9,25.4,40.7,131,14,136,0
7/14/16 5:45,79.025,26.1,7.9,25.4,40.7,133,15,136,0
7/14/16 6:00,79.025,26.1,7.9,25.4,40.7,131,14,142,0
7/14/16 6:15,78.9688,26.1,7.9,25.4,40.7,132,16,245,0
7/14/16 6:30,79.025,26.1,7.9,25.4,40.7,133,25,164,0
7/14/16 6:45,79.025,26.1,7.9,25.4,40.7,133,27,197,0
7/14/16 7:00,79.025,26.1,7.9,25.4,40.7,133,19,432,0
7/14/16 7:15,79.025,26.1,7.9,25.4,40.7,133,22,285,0
7/14/16 7:30,78.9688,26.1,7.9,25.4,40.7,132,26,344,0
7/14/16 7:45,79.025,26.1,7.9,25.4,40.8,132,23,370,0
7/14/16 8:00,78.9688,26.1,7.9,25.4,40.7,132,14,294,0
7/14/16 8:15,79.025,26.1,7.9,25.4,40.8,132,10,302,0
7/14/16 8:30,79.025,26.1,7.9,25.4,40.8,131,12,513,0
7/14/16 8:45,79.025,26.1,7.9,25.4,40.8,130,8,449,0
7/14/16 9:00,79.025,26.1,7.9,25.4,40.8,131,8,449,0
7/14/16 9:15,79.0812,26.1,7.9,25.4,40.8,133,10,491,0
7/14/16 9:30,79.0812,26.1,7.9,25.4,40.8,134,8,326,0
7/14/16 9:45,79.0812,26.2,7.9,25.4,40.8,132,8,425,0
7/14/16 10:00,79.0812,26.2,7.9,25.4,40.8,131,8,369,0
7/14/16 10:15,79.0812,26.2,7.9,25.4,40.8,131,8,340,0
7/14/16 10:30,79.1375,26.2,7.9,25.4,40.8,131,7,199,0
7/14/16 10:45,79.1375,26.2,7.9,25.4,40.8,132,6,279,0
7/14/16 11:00,79.1938,26.2,8,25.4,40.9,128,6,322,0
7/14/16 11:15,79.1375,26.2,8,25.4,40.8,130,9,254,0
7/14/16 11:30,79.1938,26.2,8,25.4,40.8,131,8,312,0
7/14/16 11:45,79.1938,26.2,8,25.4,40.8,131,8,288,0
7/14/16 12:00,79.25,26.3,8,25.4,40.9,130,7,363,0
7/14/16 12:15,79.25,26.3,8,25.4,40.9,131,8,326,0
7/14/16 12:30,79.25,26.3,8,25.4,40.9,130,7,339,0
7/14/16 12:45,79.3063,26.3,8,25.4,40.9,130,7,278,0
7/14/16 13:00,79.3063,26.3,8,25.4,40.9,130,8,353,0
7/14/16 13:15,79.3625,26.3,8,25.4,40.9,129,8,398,0
7/14/16 13:30,79.3625,26.3,8,25.5,41,130,79,272,0
7/14/16 13:45,79.3625,26.3,8,25.5,41,131,6,59,0
7/14/16 14:00,79.3625,26.3,8,25.5,41.1,130,4,64,0
7/14/16 14:15,79.4188,26.3,8,25.5,41.1,129,4,68,0
7/14/16 14:30,79.4188,26.3,8,25.5,41.1,130,5,88,0
7/14/16 14:45,79.4188,26.3,8,25.5,41.1,130,4,71,0
7/14/16 15:00,79.4188,26.3,8,25.5,41.1,129,4,86,0
7/14/16 15:15,79.4188,26.4,8,25.5,41.1,129,5,62,0
7/14/16 15:30,79.4188,26.4,8,25.5,41.1,129,5,89,0
7/14/16 15:45,79.475,26.4,8,25.5,41.1,128,5,74,0
